IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
8.222.171.112,443,443,true,SIN,Asia Pacific,SG,Singapore,90,13.31
8.219.247.250,443,443,true,SIN,Asia Pacific,SG,Singapore,97,12.06
8.219.197.239,443,443,true,SIN,Asia Pacific,SG,Singapore,99,11.82
47.245.107.244,443,443,true,SIN,Asia Pacific,SG,Singapore,101,7.21
141.147.185.136,443,443,true,SIN,Asia Pacific,SG,Singapore,245,6.35
8.219.231.170,443,443,true,SIN,Asia Pacific,SG,Singapore,95,6.31
8.219.222.2,443,443,true,SIN,Asia Pacific,SG,Singapore,93,5.98
8.222.254.161,443,443,true,SIN,Asia Pacific,SG,Singapore,99,5.77
152.67.202.30,443,443,true,SIN,Asia Pacific,SG,Singapore,265,5.46
138.2.120.183,443,443,true,SIN,Asia Pacific,SG,Singapore,263,5.43
43.156.53.68,443,443,true,SIN,Asia Pacific,SG,Singapore,99,5.40
8.219.244.63,443,443,true,SIN,Asia Pacific,SG,Singapore,99,5.38
152.70.98.30,443,443,true,SIN,Asia Pacific,SG,Singapore,257,4.79
152.69.227.188,443,443,true,SIN,Asia Pacific,SG,Singapore,260,4.73
8.219.107.200,443,443,true,SIN,Asia Pacific,SG,Singapore,98,4.67
146.56.160.179,443,443,true,SIN,Asia Pacific,SG,Singapore,294,3.65
8.219.187.251,443,443,true,SIN,Asia Pacific,SG,Singapore,91,2.79
13.229.173.16,8443,443,true,SIN,Asia Pacific,SG,Singapore,95,2.39
8.222.143.174,443,443,true,SIN,Asia Pacific,SG,Singapore,88,2.13
8.222.208.155,443,443,true,SIN,Asia Pacific,SG,Singapore,96,1.69
8.219.199.249,443,443,true,SIN,Asia Pacific,SG,Singapore,93,1.69
8.219.172.227,443,443,true,SIN,Asia Pacific,SG,Singapore,85,1.68
18.136.16.233,443,443,true,SIN,Asia Pacific,SG,Singapore,103,1.25
54.255.71.236,443,443,true,SIN,Asia Pacific,SG,Singapore,95,0.86
43.156.29.15,443,443,true,SIN,Asia Pacific,SG,Singapore,101,0.52
8.222.178.97,443,443,true,SIN,Asia Pacific,SG,Singapore,105,0.39
54.169.229.188,443,443,true,SIN,Asia Pacific,SG,Singapore,93,0.39
43.156.40.79,443,443,true,SIN,Asia Pacific,SG,Singapore,99,0.36
8.219.254.97,443,443,true,SIN,Asia Pacific,SG,Singapore,89,0.23
52.74.101.26,443,443,true,SIN,Asia Pacific,SG,Singapore,92,0.14
144.24.74.239,443,443,true,SIN,Asia Pacific,SG,Singapore,257,0.11
146.56.156.71,443,443,true,SIN,Asia Pacific,SG,Singapore,278,0.01
193.122.109.144,443,443,true,SIN,Asia Pacific,SG,Singapore,268,0.01
144.24.85.235,443,443,true,SIN,Asia Pacific,SG,Singapore,262,0.01
129.154.50.69,443,443,true,SIN,Asia Pacific,SG,Singapore,277,0.01
54.169.2.8,2086,443,true,SIN,Asia Pacific,SG,Singapore,98,0.00
43.156.7.30,443,443,true,SIN,Asia Pacific,SG,Singapore,93,0.00
8.222.159.75,443,443,true,SIN,Asia Pacific,SG,Singapore,102,0.00
8.219.204.190,443,443,true,SIN,Asia Pacific,SG,Singapore,95,0.00
8.222.165.104,443,443,true,SIN,Asia Pacific,SG,Singapore,95,0.00
8.219.156.237,443,443,true,SIN,Asia Pacific,SG,Singapore,98,0.00
47.236.181.185,8443,443,true,SIN,Asia Pacific,SG,Singapore,106,0.00
43.156.253.94,443,443,true,SIN,Asia Pacific,SG,Singapore,101,0.00
8.219.63.149,443,443,true,SIN,Asia Pacific,SG,Singapore,91,0.00
8.219.247.221,443,443,true,SIN,Asia Pacific,SG,Singapore,98,0.00
8.219.90.59,443,443,true,SIN,Asia Pacific,SG,Singapore,104,0.00
8.219.241.41,443,443,true,SIN,Asia Pacific,SG,Singapore,101,0.00
8.222.146.234,443,443,true,SIN,Asia Pacific,SG,Singapore,93,0.00
8.222.157.169,443,443,true,SIN,Asia Pacific,SG,Singapore,104,0.00
8.222.132.231,443,443,true,SIN,Asia Pacific,SG,Singapore,101,0.00
8.222.133.189,443,443,true,SIN,Asia Pacific,SG,Singapore,95,0.00
8.222.202.168,443,443,true,SIN,Asia Pacific,SG,Singapore,102,0.00
8.222.156.70,443,443,true,SIN,Asia Pacific,SG,Singapore,93,0.00
8.219.177.83,443,443,true,SIN,Asia Pacific,SG,Singapore,95,0.00
8.219.132.34,443,443,true,SIN,Asia Pacific,SG,Singapore,90,0.00
8.222.218.170,443,443,true,SIN,Asia Pacific,SG,Singapore,95,0.00
8.222.185.73,443,443,true,SIN,Asia Pacific,SG,Singapore,92,0.00
8.222.230.229,443,443,true,SIN,Asia Pacific,SG,Singapore,91,0.00
20.198.241.32,2053,443,true,SIN,Asia Pacific,SG,Singapore,109,0.00
43.134.34.18,443,443,true,SIN,Asia Pacific,SG,Singapore,90,0.00
13.229.159.215,443,443,true,SIN,Asia Pacific,SG,Singapore,87,0.00
8.219.232.66,443,443,true,SIN,Asia Pacific,SG,Singapore,92,0.00
8.219.104.48,443,443,true,SIN,Asia Pacific,SG,Singapore,95,0.00
8.219.11.96,443,443,true,SIN,Asia Pacific,SG,Singapore,85,0.00
129.150.43.23,8443,443,true,SIN,Asia Pacific,SG,Singapore,124,0.00
8.219.82.103,443,443,true,SIN,Asia Pacific,SG,Singapore,91,0.00
129.154.208.145,443,443,true,SIN,Asia Pacific,SG,Singapore,277,0.00
185.81.28.108,36076,443,true,SIN,Asia Pacific,SG,Singapore,92,0.00
47.79.3.220,443,443,true,SIN,Asia Pacific,SG,Singapore,358,0.00
